id,speed,deg
262,7.26,-157.49898
263,10.81,-168.49898
264,8.51,-153.99898
265,5.61,-141.5
266,5.86,-152.49898
267,5.21,-146.99898
268,7.36,-145.999
269,5.51,-156.49898
270,3.21,-174.49898
271,1.51,-118.99898
272,2.06,-92.999
273,7.2100005,128.001
274,8.16,98.50129
275,10.71,-151.99898
276,7.96,-163.49898
277,3.3599997,177.00099
278,5.01,-157.999
279,4.6600003,-156.49898
280,3.76,-155.99898
281,4.11,-141.5
282,1.7599999,-144.99898
283,1.61,-86.999
284,2.51,-67.499
285,3.41,-64.99899
286,6.11,102.00099
287,11.560001,-165.49898
288,7.01,-170.49898
289,9.16,-124.99897
290,7.56,-141.499
291,4.41,-147.99998
292,3.5100002,-148.99898
293,4.36,-156.49898
294,2.31,-150.499
295,2.21,-161.49898
296,2.3100002,-170.99898
297,1.31,-163.99898
298,2.9600003,-86.49901
299,3.91,89.0013
300,6.0600004,109.49999
301,6.76,-116.99899
302,6.46,-169.49898
303,7.81,-162.999
304,4.31,-157.49898
305,3.3600001,-154.49898
306,2.36,-139.99898
307,1.91,-140.49898
308,1.96,-116.99899
309,2.41,-113.99898
310,2.8600001,-134.49898
311,3.01,-109.49898
